"customerid","gender","seniorcitizen","partner","dependents","tenure","phoneservice","multiplelines","internetservice","onlinesecurity","onlinebackup","deviceprotection","techsupport","streamingtv","streamingmovies","paperlessbilling","paymentmethod","monthlycharges","totalcharges","customer_churn"
"8160-HOWOX","Female",0,"No","No",7,"Yes","No","DSL","No","No","No","No","Yes","Yes","Yes","Electronic check",66.85,458.1,"No"
"2215-ZAFGX","Male",0,"No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Yes","Electronic check",85.5,791.7,"No"
"2393-DIVAI","Female",0,"No","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","Mailed check",20,61.7,"No"
"7246-ZGQDF","Female",0,"No","Yes",1,"Yes","No","DSL","Yes","No","No","Yes","No","No","No","Electronic check",54.5,54.5,"No"
"8382-SHQEH","Female",0,"Yes","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Yes","Electronic check",84.9,764.95,"Yes"
"3221-CJMSG","Male",0,"No","No",24,"Yes","No","DSL","No","No","No","Yes","No","No","Yes","Credit card (automatic)",51.1,1269.6,"No"
"9432-VOFYX","Male",0,"No","No",17,"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",70.8,1207,"No"
"9279-CJEOJ","Female",1,"No","No",21,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Yes","Bank transfer (automatic)",95.4,2025.1,"No"
"8992-OBVDG","Male",0,"No","No",21,"Yes","No","DSL","No","No","Yes","No","No","Yes","No","Mailed check",61.65,1393.6,"No"
"1768-ZAIFU","Female",1,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Yes","Electronic check",25.2,25.2,"Yes"
"3976-NLDEZ","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",20.6,20.6,"No"
"5609-CEBID","Female",1,"No","No",20,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Yes","Electronic check",94.1,1782.4,"Yes"
"6563-VNPMN","Female",1,"No","No",45,"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","No","Yes","Bank transfer (automatic)",85.7,3778.1,"No"
"0058-EVZWM","Female",0,"Yes","No",55,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Yes","Bank transfer (automatic)",89.8,4959.6,"No"
"8082-GHXOP","Male",0,"No","Yes",13,"Yes","No","DSL","No","No","No","No","No","No","No","Mailed check",44,659.35,"No"
"4580-TMHJU","Female",0,"Yes","Yes",43,"Yes","No","DSL","No","No","No","No","Yes","No","No","Electronic check",56.15,2499.3,"Yes"
"6710-HSJRD","Male",0,"Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes","Electronic check",114.1,7132.15,"No"
"4360-PNRQB","Male",0,"No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes","Bank transfer (automatic)",75.6,1395.05,"No"
"6537-QLGEX","Female",0,"No","No",16,"No","No phone service","DSL","Yes","No","No","No","Yes","No","Yes","Electronic check",38.9,664.4,"No"
"5583-SXDAG","Male",0,"Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","No","Electronic check",70,70,"Yes"
"4529-CKBCL","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes","Electronic check",80.2,146.05,"Yes"
"5393-RXQSZ","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","Yes","No","Electronic check",79.6,79.6,"Yes"
"5311-IHLEI","Male",0,"No","No",12,"No","No phone service","DSL","Yes","Yes","No","Yes","Yes","No","Yes","Bank transfer (automatic)",50.95,605.75,"No"
"1078-TDCRN","Female",1,"Yes","No",3,"No","No phone service","DSL","No","Yes","No","No","No","No","Yes","Electronic check",30.75,82.85,"No"
"8665-UTDHZ","Male",0,"Yes","Yes",1,"No","No phone service","DSL","No","Yes","No","No","No","No","No","Electronic check",30.2,30.2,"Yes"
"7682-AZNDK","Male",0,"Yes","Yes",34,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Yes","Electronic check",89.85,3091.75,"No"
"6629-CZTTH","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","Yes","Yes","Mailed check",55.7,55.7,"Yes"
"2024-BASKD","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Yes","Mailed check",74.6,74.6,"Yes"
"5219-YIPTK","Female",0,"Yes","No",33,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes","Electronic check",104.4,3409.6,"Yes"
"5095-AESKG","Female",0,"Yes","No",3,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Yes","Credit card (automatic)",91.5,242.95,"Yes"
"3841-CONLJ","Female",0,"Yes","No",1,"No","No phone service","DSL","No","No","No","No","No","Yes","No","Electronic check",35,35,"No"
"0208-BPQEJ","Female",0,"Yes","Yes",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Bank transfer (automatic)",19.4,198.1,"No"
"6124-ACRHJ","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",19.75,19.75,"No"
"9121-PHQSR","Male",1,"Yes","No",16,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Yes","Credit card (automatic)",85.05,1391.15,"No"
"8992-VONJD","Female",0,"No","Yes",13,"Yes","No","DSL","Yes","Yes","No","No","No","No","Yes","Electronic check",56,764.55,"No"
"0260-ZDLGK","Female",0,"No","Yes",9,"Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Yes","Mailed check",72.9,651.4,"Yes"
"5712-PTIWW","Male",0,"No","No",2,"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","Yes","Electronic check",79.85,152.45,"Yes"
"5567-WSELE","Male",1,"Yes","No",3,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Yes","Electronic check",94.6,279.55,"Yes"
"1498-DQNRX","Female",0,"Yes","No",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",19.85,573.05,"No"
"6907-NZZIJ","Female",0,"No","No",36,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Yes","Electronic check",99.15,3615.6,"Yes"
"1746-TGTWV","Male",0,"Yes","No",1,"Yes","No","Fiber optic","No","No","Yes","No","No","No","No","Credit card (automatic)",75.35,75.35,"No"
"6752-APNJL","Male",0,"Yes","Yes",42,"Yes","No","DSL","Yes","Yes","No","No","No","No","No","Mailed check",54.5,2301.15,"No"
"3932-IJWDZ","Male",0,"No","No",45,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Yes","Bank transfer (automatic)",103.65,4747.85,"No"
"1142-WACZW","Male",0,"No","No",2,"No","No phone service","DSL","No","No","No","Yes","No","No","No","Bank transfer (automatic)",29.85,75.6,"Yes"
"8739-QOTTN","Female",0,"Yes","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",20.35,41.85,"No"
"2592-YKDIF","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",20.35,20.35,"No"
"3088-LHEFH","Female",0,"No","No",11,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Yes","Bank transfer (automatic)",79,929.3,"No"
"1640-PLFMP","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",70.25,70.25,"No"
"9895-VFOXH","Female",0,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","No","Mailed check",24.4,24.4,"No"
"4640-UHDOS","Female",0,"Yes","Yes",13,"Yes","No","DSL","No","No","No","No","No","Yes","No","Electronic check",55.95,734.35,"Yes"
"2159-TURXX","Male",0,"No","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Credit card (automatic)",20.05,95.55,"No"
"1550-LOAHA","Female",0,"Yes","No",32,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","No","Bank transfer (automatic)",84.15,2585.95,"Yes"
"0682-USIXD","Female",0,"Yes","No",21,"Yes","No","Fiber optic","No","No","No","Yes","Yes","No","Yes","Electronic check",86.05,1818.9,"No"
"1247-QBVSH","Female",0,"Yes","Yes",43,"Yes","No","DSL","No","Yes","No","No","No","No","No","Mailed check",50.2,2169.4,"No"
"0887-HJGAR","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Yes","Mailed check",45.7,45.7,"Yes"
"3589-PPVKW","Male",0,"No","No",9,"Yes","No","DSL","No","No","No","No","No","No","Yes","Mailed check",44.4,348.15,"No"
"6483-OATDN","Male",0,"Yes","Yes",8,"Yes","No","DSL","Yes","No","No","No","No","No","Yes","Credit card (automatic)",51.3,411.6,"No"
"1452-XRSJV","Female",0,"Yes","Yes",39,"Yes","No","DSL","Yes","No","No","No","No","No","No","Credit card (automatic)",51.05,2066,"No"
"5028-HTLJB","Male",1,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",20.05,20.05,"Yes"
"2111-DWYHN","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",21.1,21.1,"No"
"6917-IAYHD","Male",0,"No","Yes",1,"No","No phone service","DSL","No","Yes","No","Yes","No","No","No","Mailed check",33.6,33.6,"No"
"5628-FCGYG","Male",0,"No","No",21,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Yes","Electronic check",84.1,1737.45,"No"
"5842-POCOP","Female",0,"Yes","No",5,"Yes","No","Fiber optic","Yes","No","Yes","No","No","Yes","Yes","Mailed check",88.9,454.15,"Yes"
"2604-XVDAM","Female",0,"No","No",12,"Yes","No","DSL","No","No","No","No","No","No","No","Bank transfer (automatic)",43.8,540.95,"No"
"7892-QVYKW","Female",0,"Yes","Yes",23,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","No","Electronic check",85.6,1868.4,"No"
"7249-WBIYX","Male",0,"Yes","No",10,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Yes","Electronic check",85.6,813.85,"Yes"
"4140-MUHUG","Female",1,"No","No",3,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Yes","Electronic check",86.85,220.95,"Yes"
"8496-EJAUI","Male",0,"No","No",19,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Yes","Credit card (automatic)",73.85,1424.5,"Yes"
"1910-FMXJM","Female",0,"Yes","No",36,"Yes","No","Fiber optic","No","No","No","No","No","Yes","No","Electronic check",80.4,2937.65,"No"
"4329-YPDDQ","Male",0,"No","No",20,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Bank transfer (automatic)",108.2,2203.7,"No"
"6702-OHFWR","Male",1,"No","No",1,"No","No phone service","DSL","No","Yes","Yes","No","No","Yes","Yes","Electronic check",43.3,43.3,"Yes"
"5569-OUICF","Female",1,"Yes","No",28,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Yes","Credit card (automatic)",101.3,2812.2,"Yes"
"0708-LGSMF","Male",0,"Yes","No",13,"Yes","Yes","DSL","Yes","No","No","No","No","Yes","Yes","Electronic check",65.85,902.25,"No"
"8042-JVNFH","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","Mailed check",71.35,71.35,"Yes"
"9334-GWGOW","Male",1,"Yes","No",7,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",74.85,485.25,"No"
"2346-DJQTB","Female",0,"No","No",35,"No","No phone service","DSL","No","No","No","No","No","No","No","Electronic check",24.15,812.5,"No"
"0506-LVNGN","Female",1,"No","No",5,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Yes","Credit card (automatic)",75.55,349.65,"Yes"
"1670-SVOWZ","Female",0,"Yes","Yes",14,"Yes","No","Fiber optic","No","Yes","No","Yes","No","Yes","Yes","Credit card (automatic)",89.65,1208.35,"Yes"
"1636-NTNCO","Male",1,"No","No",4,"No","No phone service","DSL","No","Yes","No","No","Yes","Yes","Yes","Credit card (automatic)",50.95,207.35,"No"
"1493-AMTIE","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","Bank transfer (automatic)",20.2,20.2,"Yes"
"8111-BKVDS","Female",0,"No","No",10,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","No","Bank transfer (automatic)",40.7,449.3,"No"
"1730-ZMAME","Female",1,"No","No",32,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Yes","Electronic check",79.5,2665,"No"
"2270-CHBFN","Female",0,"Yes","No",44,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Yes","Credit card (automatic)",95.1,4060.55,"No"
"2894-QOJRX","Female",0,"Yes","No",25,"No","No phone service","DSL","No","No","No","No","Yes","No","Yes","Bank transfer (automatic)",34,853,"Yes"
"9269-CQOOL","Male",0,"No","Yes",3,"Yes","No","DSL","No","No","No","No","Yes","No","Yes","Credit card (automatic)",54.7,169.45,"Yes"
"0248-IPDFW","Female",0,"No","No",1,"Yes","Yes","DSL","No","No","No","No","No","No","Yes","Electronic check",50.1,50.1,"No"
"9560-ARGQJ","Female",0,"No","Yes",16,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes","Electronic check",81,1312.15,"Yes"
"6166-ILMNY","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","No","Bank transfer (automatic)",69.75,144.55,"Yes"
"7619-ODSGN","Male",0,"Yes","Yes",24,"Yes","Yes","DSL","Yes","No","No","No","No","No","No","Electronic check",54.75,1338.15,"Yes"
"7739-LAXOG","Female",0,"Yes","Yes",32,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Yes","Bank transfer (automatic)",91.05,2954.5,"Yes"
"3158-MOERK","Female",0,"No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Yes","Electronic check",96,174.8,"Yes"
"3059-NGMXB","Male",0,"Yes","Yes",14,"Yes","Yes","DSL","Yes","Yes","No","No","No","Yes","No","Mailed check",69.2,944.65,"No"
"4146-SVFUD","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","No","Mailed check",44.6,44.6,"No"
"0231-LXVAP","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Yes","Electronic check",75.9,75.9,"Yes"
"0384-RVBPI","Male",0,"No","No",20,"Yes","No","DSL","Yes","No","Yes","No","No","Yes","No","Credit card (automatic)",64.4,1398.6,"No"
"9894-EZEWG","Female",0,"No","No",1,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Yes","Credit card (automatic)",74.3,74.3,"Yes"
"5019-GQVCR","Male",1,"No","No",43,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Yes","Electronic check",84.85,3645.6,"No"
"5349-AZPEW","Female",0,"Yes","Yes",5,"No","No phone service","DSL","No","No","No","No","No","No","No","Mailed check",25.05,125.5,"No"
"6345-HOVES","Male",0,"No","No",34,"No","No phone service","DSL","No","No","No","No","No","No","Yes","Bank transfer (automatic)",25.05,852.7,"No"
"8844-TONUD","Male",0,"Yes","Yes",13,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Yes","Mailed check",96.65,1162.85,"Yes"
"3317-HRTNN","Female",1,"No","No",5,"No","No phone service","DSL","No","No","No","No","Yes","Yes","No","Electronic check",45.7,198,"Yes"
"5651-WYIPH","Female",1,"No","No",18,"Yes","No","DSL","No","Yes","No","No","No","No","Yes","Credit card (automatic)",49.85,865.75,"No"
"2672-HUYVI","Female",0,"No","No",6,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Yes","Electronic check",91.1,455.3,"Yes"
"9658-WYUFB","Female",0,"No","No",17,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Yes","Electronic check",94.4,1617.5,"Yes"
"3669-OYSJI","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","No","Credit card (automatic)",46.2,46.2,"Yes"
"1996-DBMUS","Female",1,"Yes","No",48,"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","Bank transfer (automatic)",70.65,3545.05,"No"
"3106-ULWFW","Female",0,"Yes","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Yes","Credit card (automatic)",85.2,627.4,"Yes"
"9185-TQCVP","Male",0,"Yes","No",14,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Yes","Electronic check",85.15,1139.2,"Yes"
"7075-BNDVQ","Female",0,"No","No",4,"No","No phone service","DSL","Yes","No","Yes","No","No","No","No","Mailed check",35,135.75,"No"
"7801-KICAO","Female",0,"No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",74.15,1345.75,"No"
"6497-TILVL","Female",0,"Yes","Yes",7,"Yes","No","DSL","Yes","No","No","No","No","No","No","Mailed check",50.7,350.35,"No"
"9919-YLNNG","Female",0,"No","No",42,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes","Bank transfer (automatic)",103.8,4327.5,"No"
"8663-UPDGF","Female",0,"No","No",26,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Yes","Bank transfer (automatic)",69.5,1800.05,"No"
"9101-NTIXF","Male",0,"No","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",19.4,50.6,"No"
"0222-CNVPT","Male",1,"No","No",52,"No","No phone service","DSL","Yes","No","No","No","Yes","Yes","Yes","Credit card (automatic)",48.8,2555.05,"No"
"0064-YIJGF","Male",0,"Yes","Yes",27,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes","Bank transfer (automatic)",75.75,1929,"No"
"0365-GXEZS","Male",0,"Yes","No",18,"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","No","Electronic check",78.2,1468.75,"No"
"1563-IWQEX","Female",0,"No","No",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",19.7,220.35,"No"
"5533-NHFRF","Male",1,"No","No",7,"No","No phone service","DSL","No","Yes","No","Yes","No","Yes","Yes","Electronic check",44.4,265.8,"No"
"1251-KRREG","Male",0,"No","No",2,"Yes","Yes","DSL","No","Yes","No","No","No","No","Yes","Mailed check",54.4,114.1,"Yes"
"2439-LYPMQ","Male",1,"Yes","No",38,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes","Electronic check",102.6,4009.2,"No"
"1029-QFBEN","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",19.55,19.55,"Yes"
"5510-BOIUJ","Male",0,"No","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",19.25,19.25,"Yes"
"1784-BXEFA","Female",0,"No","No",10,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","Mailed check",20.55,187.35,"No"
"0585-EGDDA","Male",0,"Yes","No",40,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Yes","Electronic check",80,3168.75,"No"
