"","customerid","gender","seniorcitizen","partner","dependents","tenure","phoneservice","multiplelines","internetservice","onlinesecurity","onlinebackup","deviceprotection","techsupport","streamingtv","streamingmovies","contract","paperlessbilling","paymentmethod","monthlycharges","totalcharges","churn","status"
"902","9734-YWGEX","Female",0,"No","No",9,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Credit card (automatic)",98.3,923.5,"Yes",1
"903","2719-BDAQO","Male",0,"No","No",17,"Yes","No","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",93.85,1625.65,"Yes",1
"904","5285-MVEHD","Female",0,"Yes","No",56,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",105.6,6068.65,"No",0
"907","5543-QDCRY","Male",0,"No","No",4,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",56.4,234.85,"No",0
"908","0297-RBCSG","Male",0,"No","No",19,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","One year","Yes","Bank transfer (automatic)",65.35,1231.85,"No",0
"911","1907-UBQFC","Male",1,"No","No",10,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",72.85,688.65,"Yes",1
"922","8942-DBMHZ","Male",0,"No","No",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.45,255.35,"No",0
"923","4301-VVZKA","Male",0,"Yes","No",16,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.4,1189.4,"No",0
"924","9199-PWQVC","Female",0,"Yes","No",63,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",79.7,4786.15,"No",0
"928","9625-QSTYE","Female",0,"No","No",13,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",81.15,952.3,"Yes",1
"932","0454-OKRCT","Male",0,"No","No",33,"Yes","No","Fiber optic","No","Yes","No","Yes","No","No","Two year","No","Bank transfer (automatic)",80.6,2651.1,"No",0
"933","5787-KXGIY","Male",0,"Yes","No",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.3,1304.8,"No",0
"938","6400-BWQKW","Female",0,"No","No",6,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",79.05,434.5,"Yes",1
"939","2692-AQCPF","Female",0,"Yes","No",65,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",108.05,7118.9,"No",0
"941","0835-DUUIQ","Female",0,"No","Yes",24,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",21.05,531.55,"No",0
"942","0811-GSDTP","Female",0,"No","Yes",13,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.15,382.2,"No",0
"946","6680-WKXRZ","Female",0,"No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",74.4,215.8,"Yes",1
"949","7028-DVOIQ","Male",1,"No","No",35,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.05,3395.8,"Yes",1
"951","4208-UFFGW","Male",1,"No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",44.95,85.15,"Yes",1
"953","8467-WYNSR","Male",0,"No","No",22,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Mailed check",55.1,1253.15,"No",0
"954","0851-DFJKB","Female",0,"No","No",15,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","Month-to-month","No","Electronic check",58.95,955.15,"No",0
"955","5382-SOYZL","Male",0,"No","No",22,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.1,2162.6,"No",0
"957","3261-CQXOL","Female",0,"Yes","Yes",71,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",25.45,1813.35,"No",0
"958","8388-FYNPZ","Male",0,"No","No",4,"Yes","No","DSL","Yes","No","Yes","No","No","No","Month-to-month","No","Electronic check",56.75,245.15,"No",0
"959","4002-BQWPQ","Male",0,"No","No",25,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Month-to-month","No","Bank transfer (automatic)",81.75,2028.8,"No",0
"964","4849-PYRLQ","Female",1,"No","No",56,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","Two year","No","Bank transfer (automatic)",73.25,4054.2,"No",0
"966","9889-TMAHG","Male",1,"No","No",8,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","Month-to-month","No","Credit card (automatic)",100.3,832.35,"Yes",1
"967","4541-RMRLG","Male",0,"No","No",7,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",19.25,112.3,"Yes",1
"969","3429-IFLEM","Female",0,"No","No",71,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",77.35,5550.1,"No",0
"973","0556-FJEGU","Male",0,"No","No",58,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","No","Two year","No","Bank transfer (automatic)",70.1,4048.95,"No",0
"975","0604-THJFP","Female",0,"Yes","Yes",59,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",75.95,4542.35,"No",0
"978","5879-SESNB","Female",0,"No","No",11,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",75.25,888.65,"No",0
"980","6461-PPAXN","Female",0,"Yes","Yes",35,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",54.95,1916,"No",0
"981","3318-ISQFQ","Female",0,"No","No",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",19.5,413,"No",0
"983","2483-XSSMZ","Female",0,"No","No",39,"Yes","No","DSL","Yes","No","No","No","No","No","One year","Yes","Electronic check",47.85,1886.4,"No",0
"986","9369-XFEHK","Female",1,"Yes","No",33,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",80.6,2656.5,"Yes",1
"987","2604-XVDAM","Female",0,"No","No",12,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",43.8,540.95,"No",0
"989","9046-JBFWA","Male",0,"No","Yes",27,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.15,537.35,"No",0
"990","3280-NMUVX","Male",0,"Yes","Yes",34,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",19.6,678.8,"No",0
"992","8361-LBRDI","Female",0,"No","No",58,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24.35,1423.85,"No",0
"995","7277-KAMWT","Male",0,"No","No",13,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20,268.45,"No",0
"996","3842-IYKUE","Female",0,"No","No",35,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",85.3,2917.5,"Yes",1
"1003","8120-JDCAM","Male",0,"Yes","Yes",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",69.55,284.9,"No",0
"1004","8917-FAEMR","Female",0,"No","No",37,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.85,784.25,"No",0
"1016","3863-IUBJR","Male",0,"Yes","Yes",12,"Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)",53.65,696.35,"Yes",1
"1017","7649-SIJJF","Male",0,"Yes","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Mailed check",80.1,5585.4,"No",0
"1018","9361-YNQWJ","Female",0,"No","No",64,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)",24.4,1601.2,"No",0
"1019","3748-FVMZZ","Male",0,"No","No",4,"No","No phone service","DSL","No","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",40.05,162.45,"No",0
"1020","9391-TTOYH","Female",0,"No","No",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.5,470.2,"No",0
"1023","8242-SOQUO","Female",1,"No","No",5,"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",84.7,392.5,"No",0
"1025","7147-AYBAA","Male",0,"No","No",37,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.35,2552.9,"No",0
"1026","7868-TMWMZ","Female",1,"Yes","No",60,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110,6668.35,"No",0
"1029","8436-BJUMM","Male",0,"Yes","Yes",26,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",83.75,2070.6,"Yes",1
"1030","4184-TJFAN","Female",1,"Yes","Yes",3,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Mailed check",88.3,273.75,"Yes",1
"1032","1352-VHKAJ","Male",0,"Yes","Yes",27,"Yes","Yes","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",71.6,1957.1,"No",0
"1033","4145-UQXUQ","Female",1,"No","No",8,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",92.1,729.95,"Yes",1
"1034","2632-TACXW","Female",0,"Yes","No",62,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",23.65,1416.75,"No",0
"1036","1767-CJKBA","Male",0,"No","No",66,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25.1,1697.7,"No",0
"1037","6445-TNRXS","Male",0,"Yes","Yes",68,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",114.7,7849.85,"No",0
"1038","4581-LNWUM","Female",0,"No","No",13,"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",49.15,649.4,"No",0
"1039","4869-EPIUS","Male",0,"Yes","No",56,"Yes","No","Fiber optic","No","No","No","No","No","Yes","One year","Yes","Electronic check",80.9,4557.5,"No",0
"1041","1236-WFCDV","Male",1,"No","No",14,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Credit card (automatic)",90.45,1266.1,"Yes",1
"1045","3354-OADJP","Female",0,"No","No",8,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Bank transfer (automatic)",54.25,447.75,"No",0
"1047","0810-DHDBD","Female",0,"No","No",52,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","No","One year","No","Credit card (automatic)",74,3877.65,"No",0
"1049","2829-HYVZP","Male",0,"No","No",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Mailed check",19.8,572.2,"No",0
"1052","3845-JHAMY","Female",0,"Yes","Yes",16,"No","No phone service","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",35.5,552.7,"No",0
"1055","5981-ITEMU","Male",0,"Yes","No",40,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",97.1,3706.95,"Yes",1
"1059","2074-GKOWZ","Male",0,"Yes","Yes",2,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",89.55,185.55,"Yes",1
"1060","0376-YMCJC","Male",0,"No","No",23,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",90.6,1943.2,"Yes",1
"1061","6100-FJZDG","Male",0,"Yes","Yes",26,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)",20.05,505.9,"No",0
"1062","4829-ZLJTK","Female",1,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",112.4,8046.85,"No",0
"1063","1730-VFMWO","Female",0,"Yes","No",34,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",50.2,1815.3,"No",0
"1064","7143-BQIBA","Male",0,"No","No",10,"Yes","No","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","No","Bank transfer (automatic)",62.25,612.95,"No",0
"1066","0634-SZPQA","Female",0,"No","No",23,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",90.05,2169.8,"Yes",1
"1069","5536-RTPWK","Male",0,"Yes","No",49,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",99.05,4853.75,"Yes",1
"1071","6166-ILMNY","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",69.75,144.55,"Yes",1
"1072","3097-NNSPB","Female",0,"No","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",49.05,91.1,"Yes",1
"1075","2111-DWYHN","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",21.1,21.1,"No",0
"1076","4194-WHFCB","Female",0,"Yes","Yes",59,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",96.65,5580.8,"No",0
"1082","1751-NCDLI","Male",1,"Yes","No",46,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.85,4564.9,"No",0
"1084","9878-TNQGW","Male",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.95,171.15,"Yes",1
"1085","9170-ARBTB","Female",0,"Yes","Yes",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",19.6,1012.4,"No",0
"1086","4441-NIHPT","Female",1,"No","No",13,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",74.3,940.35,"Yes",1
"1087","8999-BOHSE","Female",1,"No","No",11,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",89.7,1047.7,"Yes",1
"1089","7029-RPUAV","Male",1,"Yes","No",17,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",100.45,1622.45,"Yes",1
"1090","4546-FOKWR","Female",0,"No","No",16,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.75,1129.35,"No",0
"1091","9036-CSKBW","Female",0,"No","No",51,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Bank transfer (automatic)",107.45,5680.9,"No",0
"1092","5832-TRLPB","Male",0,"No","No",29,"Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",75.35,2243.9,"No",0
"1093","8590-YFFQO","Male",0,"Yes","No",70,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",64.95,4523.25,"No",0
"1094","8659-IOOPU","Female",0,"Yes","Yes",71,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","No","Yes","Two year","No","Electronic check",100.45,7159.7,"No",0
"1095","1338-CECEE","Male",0,"Yes","Yes",41,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",68.5,2839.95,"No",0
"1096","7439-DKZTW","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.55,80.55,"No",0
"1098","4607-CHPCA","Male",0,"Yes","Yes",25,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","One year","Yes","Electronic check",90.4,2178.6,"Yes",1
"1099","9742-XOKTS","Male",0,"Yes","Yes",67,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","No","One year","No","Electronic check",89.55,6038.55,"No",0
"1100","6921-OZMFH","Male",0,"Yes","Yes",5,"Yes","Yes","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",55.7,259.4,"No",0
"1101","9578-FOMUK","Male",0,"No","Yes",15,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",24.8,324.15,"No",0
"1103","8824-RWFXJ","Male",0,"Yes","Yes",3,"Yes","No","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Mailed check",56.15,168.15,"Yes",1
"1105","8717-VCTXJ","Male",0,"No","No",42,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Mailed check",19.55,839.4,"No",0
"1106","7363-QTBIW","Female",0,"Yes","No",9,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",79.75,769.1,"No",0
"1107","4159-NAAIX","Female",0,"No","No",63,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","No","Bank transfer (automatic)",97.45,6253,"No",0
"1108","0971-QIFJK","Female",0,"Yes","No",69,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",24.25,1641.8,"No",0
"1111","0343-QLUZP","Male",0,"No","No",60,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",39.6,2424.5,"No",0
"1113","2176-LVPNX","Female",1,"No","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",89.85,6293.45,"No",0
"1116","1271-UODNO","Male",0,"No","No",39,"Yes","Yes","DSL","No","No","No","Yes","No","No","Two year","Yes","Credit card (automatic)",53.85,2200.7,"No",0
"1118","6900-RBKER","Male",0,"No","No",52,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)",89.45,4577.75,"No",0
"1119","6891-JPYFF","Female",0,"Yes","Yes",48,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",105.25,4997.5,"No",0
"1120","1459-QNFQT","Male",0,"Yes","Yes",70,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",59.5,4144.8,"No",0
"1121","1047-NNCBF","Male",0,"No","No",20,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",70.55,1493.55,"No",0
"1128","9330-DHBFL","Female",0,"Yes","Yes",23,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","Yes","Mailed check",66.25,1533.8,"No",0
"1129","0098-BOWSO","Male",0,"No","No",27,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",19.4,529.8,"No",0
"1130","3452-ABWRL","Male",1,"No","No",47,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",86.05,3865.6,"No",0
"1131","5859-HZYLF","Male",0,"Yes","Yes",26,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",19.15,515.75,"No",0
"1132","8257-RZAHR","Female",0,"Yes","No",14,"Yes","Yes","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",64.7,941,"Yes",1
"1134","3156-QLHBO","Male",0,"No","Yes",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.25,48.35,"No",0
"1135","2208-NQBCT","Female",0,"Yes","Yes",26,"Yes","No","Fiber optic","Yes","Yes","No","No","No","No","Month-to-month","No","Electronic check",81.95,2070.05,"No",0
"1136","1779-PWPMG","Female",1,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",114.65,8333.95,"No",0
"1139","0774-IFUVM","Male",0,"Yes","Yes",11,"Yes","Yes","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",65.15,723.35,"No",0
"1140","3082-WQRVY","Male",1,"Yes","No",14,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.65,228.65,"No",0
"1141","9553-DLCLU","Female",0,"No","Yes",13,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",88.95,1161.75,"No",0
"1142","1641-BYBTK","Male",0,"No","Yes",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",20.2,98.35,"No",0
"1144","2446-ZKVAF","Male",0,"Yes","No",18,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",56.8,1074.65,"No",0
"1147","1430-SFQSA","Male",0,"No","No",29,"No","No phone service","DSL","Yes","No","No","Yes","No","No","One year","No","Mailed check",35.6,1072.6,"No",0
"1149","7851-WZEKY","Female",0,"No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.15,196.9,"Yes",1
"1151","8807-ARQET","Female",0,"No","No",41,"No","No phone service","DSL","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",40.35,1677.85,"No",0
"1155","8292-ITGYJ","Female",0,"Yes","Yes",45,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",24.65,1138.8,"No",0
"1160","4086-YQSNZ","Female",1,"Yes","No",3,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.4,224.05,"Yes",1
"1161","6242-MBHPK","Female",1,"Yes","No",23,"Yes","No","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.1,2326.05,"No",0
"1162","5868-CZJDR","Male",0,"No","Yes",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",31.35,31.35,"Yes",1
"1163","9359-UGBTK","Female",0,"No","No",67,"Yes","No","DSL","Yes","No","Yes","Yes","No","Yes","One year","Yes","Bank transfer (automatic)",72.35,4991.5,"No",0
"1164","0135-NMXAP","Female",0,"No","No",12,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.75,1052.4,"Yes",1
"1165","4782-OSFXZ","Female",1,"Yes","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",82.7,5831.2,"No",0
"1168","4189-NAKJS","Male",0,"No","No",26,"Yes","Yes","DSL","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",51.55,1295.4,"No",0
"1171","9127-FHJBZ","Male",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",114,8093.15,"No",0
"1173","1641-RQDAY","Female",1,"Yes","Yes",32,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.4,3217.65,"No",0
"1174","0107-WESLM","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",19.85,19.85,"Yes",1
"1175","6994-ORCWG","Female",0,"No","No",14,"Yes","Yes","DSL","No","Yes","No","No","No","No","One year","Yes","Mailed check",54.25,773.2,"No",0
"1176","1346-UFHAX","Female",0,"No","No",13,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80,1029.35,"No",0
"1177","3992-YWPKO","Female",0,"No","No",6,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",109.9,669.45,"Yes",1
"1179","0125-LZQXK","Male",0,"No","No",15,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",101.35,1553.95,"Yes",1
"1180","5461-QKNTN","Male",1,"Yes","No",43,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",94.3,3953.15,"No",0
"1183","3164-YAXFY","Male",0,"No","No",57,"No","No phone service","DSL","Yes","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",53.75,3196,"No",0
"1184","0887-WBJVH","Female",0,"Yes","No",53,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","One year","Yes","Electronic check",93.45,4872.2,"No",0
"1187","7670-ZBPOQ","Female",0,"Yes","No",58,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",61.05,3478.75,"No",0
"1188","8089-UZWLX","Female",1,"No","No",71,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",104.05,7413.55,"No",0
"1189","0080-OROZO","Female",0,"No","No",35,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",99.25,3532,"No",0
"1190","3916-NRPAP","Male",0,"No","No",3,"Yes","No","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","No","Credit card (automatic)",85.7,256.75,"No",0
"1194","5232-NXPAY","Female",0,"No","No",47,"Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Two year","No","Mailed check",74.45,3510.3,"No",0
"1196","4468-KAZHE","Female",1,"Yes","No",20,"Yes","No","DSL","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",60,1259.35,"No",0
"1198","8944-AILEF","Male",0,"Yes","No",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Credit card (automatic)",19.45,340.85,"No",0
"1203","3927-NLNRY","Male",0,"Yes","No",53,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",94.25,4867.95,"Yes",1
"1209","5494-HECPR","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.25,80.25,"Yes",1
"1213","4291-SHSBH","Male",0,"No","No",7,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.55,521.35,"No",0
"1215","9866-QEVEE","Male",0,"No","No",19,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",86,1532.45,"Yes",1
"1217","0040-HALCW","Male",0,"Yes","Yes",54,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.4,1090.6,"No",0
